,date,description,actual hours,pay_period
0,2026-07-06,Admin-G (General),1.0,2026-06-28
1,2026-07-06,Reporting,2.0,2026-06-28
2,2026-07-06,Meetings,0.5,2026-06-28
3,2026-07-06,Figures,2.0,2026-06-28
4,2026-07-06,Mob/Demob,0.5,2026-06-28
5,2026-07-03,Banked Time,8.0,2026-06-28
6,2026-07-02,Banked Time,8.0,2026-06-28
7,2026-07-01,Statutory Holidays,8.0,2026-06-28
8,2026-06-30,Reporting,8.0,2026-06-28
9,2026-06-29,Training,2.5,2026-06-28
10,2026-06-29,Reporting,3.5,2026-06-28
11,2026-06-29,Meetings,1.5,2026-06-28
12,2026-06-29,Meetings,0.5,2026-06-28
13,2026-06-26,Banked Time,8.0,2026-06-14
14,2026-06-25,Training,1.5,2026-06-14
15,2026-06-25,Reporting,6.5,2026-06-14
16,2026-06-24,Figures,6.0,2026-06-14
17,2026-06-24,Mob/Demob,0.5,2026-06-14
18,2026-06-24,Training,1.5,2026-06-14
19,2026-06-23,Reporting,4.0,2026-06-14
20,2026-06-23,Training,0.5,2026-06-14
21,2026-06-23,Admin-G (General),0.5,2026-06-14
22,2026-06-23,Figures,3.0,2026-06-14
23,2026-06-22,Banked Time,8.0,2026-06-14
24,2026-06-19,Field Work,10.0,2026-06-14
25,2026-06-19,Mob/Demob,6.0,2026-06-14
26,2026-06-18,Field Work,11.0,2026-06-14
27,2026-06-17,Field Work,10.5,2026-06-14
28,2026-06-16,Field Work,10.5,2026-06-14
29,2026-06-15,Field Work,11.0,2026-06-14
30,2026-06-13,Field Work,11.0,2026-05-31
31,2026-06-12,Field Work,10.0,2026-05-31
32,2026-06-11,Mob/Demob,5.0,2026-05-31
33,2026-06-11,Meetings,6.5,2026-05-31
34,2026-06-10,Mob/Demob,2.0,2026-05-31
35,2026-06-10,Training,0.5,2026-05-31
36,2026-06-10,Banked Time,3.0,2026-05-31
37,2026-06-10,Reporting,2.5,2026-05-31
38,2026-06-09,Reporting,6.5,2026-05-31
39,2026-06-09,Mob/Demob,1.0,2026-05-31
40,2026-06-09,Reporting,0.5,2026-05-31
41,2026-06-08,Meetings,0.5,2026-05-31
42,2026-06-08,Reporting,5.5,2026-05-31
43,2026-06-08,Meetings,0.5,2026-05-31
44,2026-06-08,Admin-D (Projects),1.0,2026-05-31
45,2026-06-08,Training,0.5,2026-05-31
46,2026-06-05,Banked Time,8.0,2026-05-31
47,2026-06-04,Field Work,9.0,2026-05-31
48,2026-06-03,Field Work,12.0,2026-05-31
